prof,title,journal,year,authors,url
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Christopher Pal,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Perouz Taslakian,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Spandana Gella,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Sai Rajeswar,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Human Annotator,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Oscar Mañas,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Pietro Astolfi,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Melissa Hall,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Candace Ross,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Jack Urbanek,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Adina Williams,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Aishwarya Pravin Agrawal,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Adriana Romero,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Improving Text-to-Image Consistency via Automatic Prompt Optimization,TMLR,2024,Michal Drozdzal,https://doi.org/10.48550/arXiv.2403.17804
aishwarya.agrawal@mila.quebec,Assessing and Learning Alignment of Unimodal Vision and Language Models,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Le Zhang,https://doi.org/10.1109/CVPR52734.2025.01361
aishwarya.agrawal@mila.quebec,Assessing and Learning Alignment of Unimodal Vision and Language Models,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Qian Yang,https://doi.org/10.1109/CVPR52734.2025.01361
aishwarya.agrawal@mila.quebec,Assessing and Learning Alignment of Unimodal Vision and Language Models,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Aishwarya Pravin Agrawal,https://doi.org/10.1109/CVPR52734.2025.01361
aishwarya.agrawal@mila.quebec,CTRL-O: Language-Controllable Object-Centric Visual Representation Learning,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Aniket Rajiv Didolkar,https://doi.org/10.1109/CVPR52734.2025.02749
aishwarya.agrawal@mila.quebec,CTRL-O: Language-Controllable Object-Centric Visual Representation Learning,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Andrii Zadaianchuk,https://doi.org/10.1109/CVPR52734.2025.02749
aishwarya.agrawal@mila.quebec,CTRL-O: Language-Controllable Object-Centric Visual Representation Learning,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Rabiul Awal,https://doi.org/10.1109/CVPR52734.2025.02749
aishwarya.agrawal@mila.quebec,CTRL-O: Language-Controllable Object-Centric Visual Representation Learning,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Maximilian Seitzer,https://doi.org/10.1109/CVPR52734.2025.02749
aishwarya.agrawal@mila.quebec,CTRL-O: Language-Controllable Object-Centric Visual Representation Learning,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Efstratios Gavves,https://doi.org/10.1109/CVPR52734.2025.02749
aishwarya.agrawal@mila.quebec,CTRL-O: Language-Controllable Object-Centric Visual Representation Learning,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,Aishwarya Pravin Agrawal,https://doi.org/10.1109/CVPR52734.2025.02749
aishwarya.agrawal@mila.quebec,VisMin: Visual Minimal-Change Understanding,NeurIPS 2024,2024,Rabiul Awal,https://doi.org/10.48550/arXiv.2407.16772
aishwarya.agrawal@mila.quebec,VisMin: Visual Minimal-Change Understanding,NeurIPS 2024,2024,Saba Ahmadi,https://doi.org/10.48550/arXiv.2407.16772
aishwarya.agrawal@mila.quebec,VisMin: Visual Minimal-Change Understanding,NeurIPS 2024,2024,Le Zhang,https://doi.org/10.48550/arXiv.2407.16772
aishwarya.agrawal@mila.quebec,VisMin: Visual Minimal-Change Understanding,NeurIPS 2024,2024,Aishwarya Pravin Agrawal,https://doi.org/10.48550/arXiv.2407.16772
aishwarya.agrawal@mila.quebec,Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives to Enhance Visio-Linguistic Compositional Understanding,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2024,Le Zhang,https://doi.org/10.1109/CVPR52733.2024.01307
aishwarya.agrawal@mila.quebec,Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives to Enhance Visio-Linguistic Compositional Understanding,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2024,Rabiul Awal,https://doi.org/10.1109/CVPR52733.2024.01307
aishwarya.agrawal@mila.quebec,Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives to Enhance Visio-Linguistic Compositional Understanding,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2024,Aishwarya Pravin Agrawal,https://doi.org/10.1109/CVPR52733.2024.01307
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Jean-Pierre R. Falet,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Steven Nobile,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Aliya Szpindel,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Berardino Barile,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Amar Kumar,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Joshua D. Durso-Finley,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Tal Arbel,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,The role of AI for MRI-analysis in multiple sclerosis—A brief overview,Frontiers Artif. Intell.,2025,Douglas Arnold,https://doi.org/10.3389/frai.2025.1478068
arbeltal@mila.quebec,PRISM: High-Resolution&Precise Counterfactual Medical Image Generation using Language-guided Stable Diffusion,MIDL 2025,2025,Amar Kumar,https://doi.org/10.48550/arXiv.2503.00196
arbeltal@mila.quebec,PRISM: High-Resolution&Precise Counterfactual Medical Image Generation using Language-guided Stable Diffusion,MIDL 2025,2025,Anita Kriz,https://doi.org/10.48550/arXiv.2503.00196
arbeltal@mila.quebec,PRISM: High-Resolution&Precise Counterfactual Medical Image Generation using Language-guided Stable Diffusion,MIDL 2025,2025,Mohammad Havaei,https://doi.org/10.48550/arXiv.2503.00196
arbeltal@mila.quebec,PRISM: High-Resolution&Precise Counterfactual Medical Image Generation using Language-guided Stable Diffusion,MIDL 2025,2025,Tal Arbel,https://doi.org/10.48550/arXiv.2503.00196
arbeltal@mila.quebec,Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,MIDL 2025,2025,Gian Mario Favero,https://doi.org/10.48550/arXiv.2502.03687
arbeltal@mila.quebec,Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,MIDL 2025,2025,Parham Saremi,https://doi.org/10.48550/arXiv.2502.03687
arbeltal@mila.quebec,Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,MIDL 2025,2025,Emily Kaczmarek,https://doi.org/10.48550/arXiv.2502.03687
arbeltal@mila.quebec,Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,MIDL 2025,2025,Brennan Nichyporuk,https://doi.org/10.48550/arXiv.2502.03687
arbeltal@mila.quebec,Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,MIDL 2025,2025,Tal Arbel,https://doi.org/10.48550/arXiv.2502.03687
arbeltal@mila.quebec,Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,IEEE Transactions on Medical Imaging,2025,Xing Shen,https://doi.org/10.1109/TMI.2025.3583974
arbeltal@mila.quebec,Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,IEEE Transactions on Medical Imaging,2025,Hengguan Huang,https://doi.org/10.1109/TMI.2025.3583974
arbeltal@mila.quebec,Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,IEEE Transactions on Medical Imaging,2025,Brennan Nichyporuk,https://doi.org/10.1109/TMI.2025.3583974
arbeltal@mila.quebec,Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,IEEE Transactions on Medical Imaging,2025,Tal Arbel,https://doi.org/10.1109/TMI.2025.3583974
arbeltal@mila.quebec,Exploring Compound Loss Functions for Brain Tumor Segmentation,Lecture Notes in Computer Science,2024,Anita Kriz,https://doi.org/10.1007/978-3-031-76163-8_27
arbeltal@mila.quebec,Exploring Compound Loss Functions for Brain Tumor Segmentation,Lecture Notes in Computer Science,2024,Raghav Mehta,https://doi.org/10.1007/978-3-031-76163-8_27
arbeltal@mila.quebec,Exploring Compound Loss Functions for Brain Tumor Segmentation,Lecture Notes in Computer Science,2024,Brennan Nichyporuk,https://doi.org/10.1007/978-3-031-76163-8_27
arbeltal@mila.quebec,Exploring Compound Loss Functions for Brain Tumor Segmentation,Lecture Notes in Computer Science,2024,Tal Arbel,https://doi.org/10.1007/978-3-031-76163-8_27
arbeltal@mila.quebec,Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,Lecture Notes in Computer Science,2024,Joshua D. Durso-Finley,https://doi.org/10.1007/978-3-031-72384-1_38
arbeltal@mila.quebec,Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,Lecture Notes in Computer Science,2024,Berardino Barile,https://doi.org/10.1007/978-3-031-72384-1_38
arbeltal@mila.quebec,Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,Lecture Notes in Computer Science,2024,Jean-Pierre R. Falet,https://doi.org/10.1007/978-3-031-72384-1_38
arbeltal@mila.quebec,Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,Lecture Notes in Computer Science,2024,Douglas Arnold,https://doi.org/10.1007/978-3-031-72384-1_38
arbeltal@mila.quebec,Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,Lecture Notes in Computer Science,2024,Nick Pawlowski,https://doi.org/10.1007/978-3-031-72384-1_38
arbeltal@mila.quebec,Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,Lecture Notes in Computer Science,2024,Tal Arbel,https://doi.org/10.1007/978-3-031-72384-1_38
arbeltal@mila.quebec,DeCoDEx: Confounder Detector Guidance for Improved Diffusion-based Counterfactual Explanations,MIDL 2024,2024,Nima Fathi,https://doi.org/10.48550/arXiv.2405.09288
arbeltal@mila.quebec,DeCoDEx: Confounder Detector Guidance for Improved Diffusion-based Counterfactual Explanations,MIDL 2024,2024,Amar Kumar,https://doi.org/10.48550/arXiv.2405.09288
arbeltal@mila.quebec,DeCoDEx: Confounder Detector Guidance for Improved Diffusion-based Counterfactual Explanations,MIDL 2024,2024,Brennan Nichyporuk,https://doi.org/10.48550/arXiv.2405.09288
arbeltal@mila.quebec,DeCoDEx: Confounder Detector Guidance for Improved Diffusion-based Counterfactual Explanations,MIDL 2024,2024,Mohammad Havaei,https://doi.org/10.48550/arXiv.2405.09288
arbeltal@mila.quebec,DeCoDEx: Confounder Detector Guidance for Improved Diffusion-based Counterfactual Explanations,MIDL 2024,2024,Tal Arbel,https://doi.org/10.48550/arXiv.2405.09288
blake.richards@mila.quebec,Learning to combine top-down context and feed-forward representations under ambiguity with apical and basal dendrites,"Cerebral Cortex (New York, NY)",2025,Nizar Islah,https://doi.org/10.1093/cercor/bhaf134
blake.richards@mila.quebec,Learning to combine top-down context and feed-forward representations under ambiguity with apical and basal dendrites,"Cerebral Cortex (New York, NY)",2025,Guillaume Etter,https://doi.org/10.1093/cercor/bhaf134
blake.richards@mila.quebec,Learning to combine top-down context and feed-forward representations under ambiguity with apical and basal dendrites,"Cerebral Cortex (New York, NY)",2025,Mashbayar Tugsbayar,https://doi.org/10.1093/cercor/bhaf134
blake.richards@mila.quebec,Learning to combine top-down context and feed-forward representations under ambiguity with apical and basal dendrites,"Cerebral Cortex (New York, NY)",2025,Busra Tugce Gurbuz,https://doi.org/10.1093/cercor/bhaf134
blake.richards@mila.quebec,Learning to combine top-down context and feed-forward representations under ambiguity with apical and basal dendrites,"Cerebral Cortex (New York, NY)",2025,Blake Aaron Richards,https://doi.org/10.1093/cercor/bhaf134
blake.richards@mila.quebec,Learning to combine top-down context and feed-forward representations under ambiguity with apical and basal dendrites,"Cerebral Cortex (New York, NY)",2025,Eilif B. Muller,https://doi.org/10.1093/cercor/bhaf134
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Anthony GX-Chen,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Dongyan Lin,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Mandana Samiei,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Doina Precup,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Blake Aaron Richards,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Rob Fergus,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Language Agents Mirror Human Causal Reasoning Biases. How Can We Help Them Think Like Scientists?,COLM 2025,2025,Kenneth Marino,https://doi.org/10.48550/arXiv.2505.09614
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Alexander Meulemans,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Seijin Kobayashi,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Johannes Von Oswald,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Nino Scherrer,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Eric Elmoznino,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Blake Aaron Richards,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Guillaume Lajoie,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,Blaise Aguera y Arcas,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,Multi-agent cooperation through learning-aware policy gradients,ICLR 2025,2025,João Sacramento,https://doi.org/10.48550/arXiv.2410.18636
blake.richards@mila.quebec,"Multi-session, multi-task neural decoding from distinct cell-types and brain regions",ICLR 2025,2025,Mehdi Azabou,https://openreview.net/forum?id=IuU0wcO0mo
blake.richards@mila.quebec,"Multi-session, multi-task neural decoding from distinct cell-types and brain regions",ICLR 2025,2025,Krystal Xuejing Pan,https://openreview.net/forum?id=IuU0wcO0mo
blake.richards@mila.quebec,"Multi-session, multi-task neural decoding from distinct cell-types and brain regions",ICLR 2025,2025,Vinam Arora,https://openreview.net/forum?id=IuU0wcO0mo
blake.richards@mila.quebec,"Multi-session, multi-task neural decoding from distinct cell-types and brain regions",ICLR 2025,2025,Ian Jarratt Knight,https://openreview.net/forum?id=IuU0wcO0mo
blake.richards@mila.quebec,"Multi-session, multi-task neural decoding from distinct cell-types and brain regions",ICLR 2025,2025,Eva L Dyer,https://openreview.net/forum?id=IuU0wcO0mo
blake.richards@mila.quebec,"Multi-session, multi-task neural decoding from distinct cell-types and brain regions",ICLR 2025,2025,Blake Aaron Richards,https://openreview.net/forum?id=IuU0wcO0mo
blake.richards@mila.quebec,Learning Successor Features the Simple Way,NeurIPS 2024,2024,Raymond Chua,https://doi.org/10.48550/arXiv.2410.22133
blake.richards@mila.quebec,Learning Successor Features the Simple Way,NeurIPS 2024,2024,Arna Ghosh,https://doi.org/10.48550/arXiv.2410.22133
blake.richards@mila.quebec,Learning Successor Features the Simple Way,NeurIPS 2024,2024,Christos Kaplanis,https://doi.org/10.48550/arXiv.2410.22133
blake.richards@mila.quebec,Learning Successor Features the Simple Way,NeurIPS 2024,2024,Blake Aaron Richards,https://doi.org/10.48550/arXiv.2410.22133
blake.richards@mila.quebec,Learning Successor Features the Simple Way,NeurIPS 2024,2024,Doina Precup,https://doi.org/10.48550/arXiv.2410.22133
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Yizi Zhang,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Yanchen Wang,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Donato M. Jiménez-Benetó,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Zixuan Wang,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Mehdi Azabou,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Blake Aaron Richards,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Renee Tung,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Olivier Winter,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,International Brain Laboratory,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Eva L Dyer,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Liam Paninski,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",NeurIPS 2024,2024,Cole Lincoln Hurwitz,https://openreview.net/forum?id=nRRJsDahEg
blake.richards@mila.quebec,Harnessing small projectors and multiple views for efficient vision pretraining,NeurIPS 2024,2024,Kumar Krishna Agrawal,https://openreview.net/forum?id=Y5DPSJzpra
blake.richards@mila.quebec,Harnessing small projectors and multiple views for efficient vision pretraining,NeurIPS 2024,2024,Arna Ghosh,https://openreview.net/forum?id=Y5DPSJzpra
blake.richards@mila.quebec,Harnessing small projectors and multiple views for efficient vision pretraining,NeurIPS 2024,2024,Shagun Sodhani,https://openreview.net/forum?id=Y5DPSJzpra
blake.richards@mila.quebec,Harnessing small projectors and multiple views for efficient vision pretraining,NeurIPS 2024,2024,Adam Oberman,https://openreview.net/forum?id=Y5DPSJzpra
blake.richards@mila.quebec,Harnessing small projectors and multiple views for efficient vision pretraining,NeurIPS 2024,2024,Blake Aaron Richards,https://openreview.net/forum?id=Y5DPSJzpra
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Mariangela Panniello,https://doi.org/10.1016/j.celrep.2024.114244
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Colleen J Gillon,https://doi.org/10.1016/j.celrep.2024.114244
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Roberto Maffulli,https://doi.org/10.1016/j.celrep.2024.114244
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Marco Celotto,https://doi.org/10.1016/j.celrep.2024.114244
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Stefano Panzeri,https://doi.org/10.1016/j.celrep.2024.114244
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Blake Aaron Richards,https://doi.org/10.1016/j.celrep.2024.114244
blake.richards@mila.quebec,Stimulus information guides the emergence of behavior-related signals in primary somatosensory cortex during learning.,Cell Reports,2024,Michael M Kohl,https://doi.org/10.1016/j.celrep.2024.114244
bzdokdan@mila.quebec,Large language models deconstruct the clinical intuition behind diagnosing autism,Cell,2025,Jack Stanley,https://doi.org/10.1016/j.cell.2025.02.025
bzdokdan@mila.quebec,Large language models deconstruct the clinical intuition behind diagnosing autism,Cell,2025,Emmett Rabot,https://doi.org/10.1016/j.cell.2025.02.025
bzdokdan@mila.quebec,Large language models deconstruct the clinical intuition behind diagnosing autism,Cell,2025,Siva Reddy,https://doi.org/10.1016/j.cell.2025.02.025
bzdokdan@mila.quebec,Large language models deconstruct the clinical intuition behind diagnosing autism,Cell,2025,Eugene Belilovsky,https://doi.org/10.1016/j.cell.2025.02.025
bzdokdan@mila.quebec,Large language models deconstruct the clinical intuition behind diagnosing autism,Cell,2025,L. Mottron,https://doi.org/10.1016/j.cell.2025.02.025
bzdokdan@mila.quebec,Large language models deconstruct the clinical intuition behind diagnosing autism,Cell,2025,Danilo Bzdok,https://doi.org/10.1016/j.cell.2025.02.025
bzdokdan@mila.quebec,A hierarchical Bayesian brain parcellation framework for fusion of functional imaging datasets,Imaging Neuroscience,2025,Da Zhi,https://doi.org/10.1101/2023.05.24.542121
bzdokdan@mila.quebec,A hierarchical Bayesian brain parcellation framework for fusion of functional imaging datasets,Imaging Neuroscience,2025,Ladan Shahshahani,https://doi.org/10.1101/2023.05.24.542121
bzdokdan@mila.quebec,A hierarchical Bayesian brain parcellation framework for fusion of functional imaging datasets,Imaging Neuroscience,2025,Caroline Nettekoven,https://doi.org/10.1101/2023.05.24.542121
bzdokdan@mila.quebec,A hierarchical Bayesian brain parcellation framework for fusion of functional imaging datasets,Imaging Neuroscience,2025,Ana Lúısa Pinho,https://doi.org/10.1101/2023.05.24.542121
bzdokdan@mila.quebec,A hierarchical Bayesian brain parcellation framework for fusion of functional imaging datasets,Imaging Neuroscience,2025,Danilo Bzdok,https://doi.org/10.1101/2023.05.24.542121
bzdokdan@mila.quebec,A hierarchical Bayesian brain parcellation framework for fusion of functional imaging datasets,Imaging Neuroscience,2025,Jörn Diedrichsen,https://doi.org/10.1101/2023.05.24.542121
